Wall time,Step,Value
1705320160.1575756,1000,0.5393131971359253
1705323709.8630455,2000,0.5170612931251526
1705327943.9774222,3000,0.5695585012435913
1705332035.6809962,4000,0.5813339948654175
1705335946.9103165,5000,0.6096794605255127
1705340194.8434324,6000,0.6306924223899841
1705344299.2141626,7000,0.650547981262207
1705348512.189621,8000,0.6529862880706787
1705352570.9215493,9000,0.6601505875587463
1705356483.8070407,10000,0.6633458137512207
1705360458.565957,11000,0.6905111074447632
1705365342.8370361,12251,0.7083032131195068
1705369300.743512,13251,0.7012719511985779
1705373382.949691,14251,0.7151674032211304
1705377585.5510585,15251,0.7129281163215637
1705381648.1011393,16251,0.7190704941749573
1705385671.5920973,17251,0.7232328653335571
1705389663.0066128,18251,0.7248056530952454
1705393869.6616528,19251,0.7232462763786316
1705397875.254926,20251,0.7307366728782654
1705401898.0790672,21251,0.7303858399391174
1705405923.5422149,22251,0.7385507225990295
1705410693.2734973,23502,0.733998715877533
1705414697.0322406,24502,0.7383589148521423
1705418696.63161,25502,0.7383989095687866
1705422897.508343,26502,0.7437711954116821
1705426921.8225982,27502,0.7487090229988098
1705431010.0320406,28502,0.7350755333900452
1705435028.0759017,29502,0.747342586517334
1705439260.798441,30502,0.7539376020431519
1705443312.015086,31502,0.7495580911636353
1705447294.4901395,32502,0.7464137673377991
1705451302.3583453,33502,0.7483910322189331
1705456136.0059948,34753,0.7604482769966125
1705460141.614901,35753,0.7564577460289001
1705464180.1894076,36753,0.7558669447898865
1705468444.9288003,37753,0.7584027647972107
1705472472.6161852,38753,0.757284939289093
1705476525.4843316,39753,0.7546855211257935
1705480550.8354847,40753,0.7585764527320862
1705484799.7333724,41753,0.7615723013877869
1705488864.3905683,42753,0.7698958516120911
1705492930.190809,43753,0.7653760313987732
1705496939.2743025,44753,0.7623769640922546
1705501742.2276552,46004,0.7662390470504761
1705505796.428968,47004,0.771331787109375
1705509830.5564146,48004,0.764824390411377
1705514056.5885391,49004,0.7646772861480713
1705518116.6749067,50004,0.7726374268531799
1705522160.6713488,51004,0.7704886198043823
1705526184.6945248,52004,0.7705329656600952
1705530373.0179129,53004,0.7676861882209778
1705534405.513242,54004,0.7706167697906494
1705538425.6266494,55004,0.7697683572769165
1705542439.461459,56004,0.7702128291130066
