Wall time,Step,Value
1705155379.8822749,1000,0.5258700847625732
1705160043.5537097,2000,0.5647571682929993
1705164972.4201407,3000,0.6042142510414124
1705170215.499021,4000,0.6435068845748901
1705175327.6430128,5000,0.6804052591323853
1705180320.6660814,6000,0.6875426173210144
1705185458.0073519,7000,0.7086758017539978
1705190715.766458,8000,0.7003829479217529
1705195775.362651,9000,0.7063966989517212
1705200728.987657,10000,0.7102168798446655
1705205765.2880595,11000,0.7214869856834412
1705211670.261585,12251,0.7191710472106934
1705216652.0264418,13251,0.7189924120903015
1705221725.3043723,14251,0.734450101852417
1705226999.578198,15251,0.734332263469696
1705232047.6607003,16251,0.7363056540489197
1705237179.412006,17251,0.7458385825157166
1705242295.5648499,18251,0.7498643398284912
1705247564.5952046,19251,0.7422839999198914
1705252651.9151325,20251,0.7533458471298218
1705257694.9638307,21251,0.7516749501228333
1705262776.3556612,22251,0.7594223022460938
1705268854.9785035,23502,0.7594948410987854
1705273887.4307914,24502,0.7522076368331909
1705279010.757066,25502,0.7615299820899963
1705284357.4382055,26502,0.7547137141227722
1705289429.6791503,27502,0.7570216059684753
1705294531.1802232,28502,0.7660476565361023
1705299617.0908697,29502,0.755936861038208
1705304982.6106775,30502,0.7701091170310974
1705310142.392489,31502,0.7681072354316711
1705315242.8177142,32502,0.7650794982910156
1705320404.8341448,33502,0.7663916945457458
1705326484.114746,34753,0.7684500217437744
1705331613.7307546,35753,0.7717100977897644
1705336781.5372314,36753,0.7737905383110046
1705342141.344202,37753,0.7737430334091187
1705347302.2752683,38753,0.7780670523643494
1705352454.261546,39753,0.7738945484161377
1705357617.1175404,40753,0.7748045325279236
1705362978.574598,41753,0.7736465334892273
1705368144.3836193,42753,0.7776208519935608
1705373327.7716448,43753,0.7816882133483887
1705378475.3507807,44753,0.7740396857261658
1705384608.043412,46004,0.7804424166679382
1705389774.0039194,47004,0.7824560403823853
1705394943.2184985,48004,0.7768937349319458
1705400334.9470751,49004,0.7816402912139893
1705405507.7092218,50004,0.7809504866600037
1705410678.6249127,51004,0.7824162840843201
1705415868.9895322,52004,0.7838953137397766
1705421290.9019556,53004,0.7875972986221313
1705426468.1540718,54004,0.7864583134651184
1705431665.464091,55004,0.7865759134292603
1705436866.4736693,56004,0.7849699258804321
