Wall time,Step,Value
1705298189.092196,1000,0.46962064504623413
1705302004.9996421,2000,0.5116416811943054
1705305881.7895055,3000,0.5337414145469666
1705310368.881496,4000,0.5802765488624573
1705314518.5799422,5000,0.5813664197921753
1705319033.7590377,6000,0.6155560612678528
1705323604.771778,7000,0.644051730632782
1705328125.4917936,8000,0.6518270969390869
1705332575.3987703,9000,0.6646199226379395
1705336917.0026674,10000,0.6605205535888672
1705341311.730934,11000,0.6781991124153137
1705346427.7561255,12251,0.6863411068916321
1705350774.779811,13251,0.6754335761070251
1705355145.9365609,14251,0.6971943378448486
1705359735.0542233,15251,0.7094763517379761
1705364161.1951299,16251,0.7141228318214417
1705368656.2318287,17251,0.7244189381599426
1705373034.095414,18251,0.7190237641334534
1705377624.943711,19251,0.7312542200088501
1705382110.0912933,20251,0.7286280989646912
1705386497.7331436,21251,0.7248611450195312
1705390902.3980124,22251,0.735485851764679
1705396108.7910137,23502,0.7341503500938416
1705400521.2828856,24502,0.7452242970466614
1705404948.4081104,25502,0.7408227920532227
1705409505.9360561,26502,0.7357742786407471
1705413960.7165482,27502,0.7457526922225952
1705418384.9403546,28502,0.7401182055473328
1705422828.4916513,29502,0.7465958595275879
1705427429.6278062,30502,0.7454299926757812
1705431873.2524686,31502,0.7466364502906799
1705436270.6984692,32502,0.7473937273025513
1705440687.2486248,33502,0.7578003406524658
1705445829.1950126,34753,0.7582061886787415
1705450222.027431,35753,0.7513725757598877
1705454716.5657327,36753,0.7595078945159912
1705459364.5159686,37753,0.7616398334503174
1705463775.1954353,38753,0.7580845355987549
1705468259.7129362,39753,0.764870822429657
1705472752.9372573,40753,0.7680330276489258
1705477401.351545,41753,0.7636992335319519
1705481835.1205554,42753,0.7574682235717773
1705486280.2756026,43753,0.7624754309654236
1705490687.610097,44753,0.7610400915145874
1705495879.3508258,46004,0.7675207257270813
1705500331.7482007,47004,0.7666314840316772
1705504779.677301,48004,0.7609649300575256
1705509399.8272305,49004,0.7633325457572937
1705513872.7791023,50004,0.7676529288291931
1705518333.7557049,51004,0.7688015103340149
1705522807.9726973,52004,0.7658220529556274
1705527437.0284576,53004,0.7658931016921997
1705531899.3156242,54004,0.767842710018158
1705536393.1240876,55004,0.7719464302062988
1705540896.3449905,56004,0.7718375325202942
