Wall time,Step,Value
1705180434.2706237,1000,0.47598743438720703
1705182943.380329,2000,0.486142635345459
1705185396.3216195,3000,0.48975902795791626
1705187980.7926183,4000,0.4906900227069855
1705190628.3197045,5000,0.5191320776939392
1705193380.610528,6000,0.5390504002571106
1705196012.3965144,7000,0.524509072303772
1705198836.128622,8000,0.5452231168746948
1705201576.1315718,9000,0.5672358274459839
1705204384.8049138,10000,0.5912827253341675
1705207077.9429998,11000,0.6003258228302002
1705210406.663531,12251,0.6208887696266174
1705213055.1166341,13251,0.6525485515594482
1705215668.0693467,14251,0.6603029370307922
1705218460.9651613,15251,0.6638841032981873
1705221127.9097996,16251,0.6672743558883667
1705223818.4266884,17251,0.6923151016235352
1705226477.7441127,18251,0.6901992559432983
1705229252.8131416,19251,0.6973352432250977
1705231908.6373258,20251,0.7072086930274963
1705234552.3266258,21251,0.7077953815460205
1705237214.4090283,22251,0.7190878391265869
1705240416.461625,23502,0.715579092502594
1705243048.450217,24502,0.7031033039093018
1705245743.2847853,25502,0.7243615984916687
1705248541.1595259,26502,0.7098686695098877
1705251265.0949566,27502,0.7267913222312927
1705253950.9222748,28502,0.7254692316055298
1705256601.692855,29502,0.7272400856018066
1705259418.5356135,30502,0.7227799892425537
1705262091.879233,31502,0.7270104885101318
1705264784.6037378,32502,0.7310320138931274
1705267460.8573434,33502,0.735636830329895
1705270745.624205,34753,0.7432749271392822
1705273430.0347881,35753,0.7287585735321045
1705276137.7872112,36753,0.7376148700714111
1705278990.4718943,37753,0.7367841005325317
1705281662.293982,38753,0.7356593012809753
1705284373.0988352,39753,0.7406553626060486
1705287067.5666156,40753,0.7423160672187805
1705289929.1095288,41753,0.7401553392410278
1705292634.1651573,42753,0.7495968341827393
1705295332.8293514,43753,0.74528568983078
1705298166.858768,44753,0.743577241897583
1705301458.6946993,46004,0.7486394047737122
1705304191.2403433,47004,0.7464268207550049
1705307069.0982218,48004,0.7529686093330383
1705310074.993903,49004,0.7497631311416626
1705312796.2472963,50004,0.7495579719543457
1705315516.910422,51004,0.7535412907600403
1705318201.655735,52004,0.7488211393356323
1705321046.1915002,53004,0.7536166906356812
1705323745.525105,54004,0.7500433325767517
1705326473.2567954,55004,0.7541399002075195
1705329164.06018,56004,0.7535682320594788
