Wall time,Step,Value
1705178026.5282736,100,10.511817932128906
1705178189.3615623,200,9.590683937072754
1705178351.011844,300,8.088467597961426
1705178511.8300328,400,6.380817890167236
1705178672.3399181,500,4.521917343139648
1705178832.2502666,600,3.2190909385681152
1705178991.8760183,700,2.3748505115509033
1705179152.1102808,800,1.8328274488449097
1705179463.3691268,900,1.4678610563278198
1705179622.7086892,1000,1.208908200263977
1705180593.1052518,1100,1.0455150604248047
1705180751.191213,1200,0.9140368700027466
1705180910.0710406,1300,0.8312408328056335
1705181068.4008677,1400,0.7628530263900757
1705181227.7453353,1500,0.7080100178718567
1705181388.526856,1600,0.6830152273178101
1705181701.5713654,1700,0.6485546827316284
1705181861.2943327,1800,0.6127409934997559
1705182020.1157846,1900,0.5939698219299316
1705182179.3906236,2000,0.5903923511505127
1705183102.4430156,2100,0.5635784268379211
1705183262.4785888,2200,0.5608070492744446
1705183424.12518,2300,0.5491357445716858
1705183584.3147995,2400,0.5347352623939514
1705183897.6383493,2500,0.5339145064353943
1705184058.9514015,2600,0.524909496307373
1705184219.692468,2700,0.5225242972373962
1705184378.951522,2800,0.518728494644165
1705184539.0271747,2900,0.5022293329238892
1705184698.7670233,3000,0.49955737590789795
1705185558.3138404,3100,0.4895310699939728
1705185720.4436984,3200,0.4896242916584015
1705186033.6734612,3300,0.4856947660446167
1705186194.4065857,3400,0.4806997776031494
1705186354.6179159,3500,0.47860974073410034
1705186515.113023,3600,0.47961410880088806
1705186675.659497,3700,0.47245627641677856
1705186837.2040377,3800,0.4764942228794098
1705187000.606223,3900,0.46964454650878906
1705187163.7773395,4000,0.4684225022792816
1705188145.1424835,4100,0.4676419198513031
1705188310.8824236,4200,0.4616941213607788
1705188477.1965146,4300,0.4582882225513458
1705188642.9228663,4400,0.46419280767440796
1705188808.4093928,4500,0.45897090435028076
1705188973.7269764,4600,0.4512060284614563
1705189138.0294209,4700,0.4593901038169861
1705189301.6563005,4800,0.45561954379081726
1705189618.431721,4900,0.4444066882133484
